,index,policy,item_util,max_envy,imp_in_item_util
492,2,NSW (0.0),2.0621143920591127e-05,0.14188038532744102,0.0010722994838707385
493,3,NSW (0.0),0.06266523544250643,0.0,3.2585922430103342
494,4,NSW (0.0),2.133854074894057e-05,0.14187966793061269,0.0011096041189449096
495,5,NSW (0.0),1.8023838832413103e-05,0.06264721160367402,0.0009372396192854814
496,6,NSW (0.0),0.03461072391164959,0.10729028255971201,1.7997576434057787
497,7,NSW (0.0),2.0858287739061516e-05,0.14188014818362255,0.0010846309624311988
498,8,NSW (0.0),0.04335386923593435,0.019311366206572082,2.2544012002685863
499,9,NSW (0.0),0.04468397529026368,0.09721703118109792,2.3235667150937114
500,10,NSW (0.0),0.043345161334106826,0.01932007410839961,2.253948389373555
501,11,NSW (0.0),0.03463788531624594,0.10726312115511567,1.8011700364447887
502,12,NSW (0.0),0.04335560140024124,0.019309634042265197,2.2544912728125444
503,13,NSW (0.0),1.7786220191879076e-05,0.06264744922231455,0.0009248834499777119
504,14,NSW (0.0),2.0863938542194777e-05,0.14188014253281941,0.0010849248041941283
505,15,NSW (0.0),1.5871650721606083e-05,0.06264936379178483,0.0008253258375235163
506,16,NSW (0.0),0.04334599071295617,0.019319244729550267,2.2539915170737204
507,17,NSW (0.0),0.043347456723419116,0.019317778719087318,2.254067749617794
508,18,NSW (0.0),2.1755696202080097e-05,0.14187925077515953,0.001131296202508165
509,19,NSW (0.0),2.084056091678709e-05,0.14188016591044483,0.0010837091676729285
510,20,NSW (0.0),1.7569228047769803e-05,0.06264766621445866,0.0009135998584840297
511,21,NSW (0.0),1.792852143665591e-05,0.06264730692106978,0.0009322831147061072
512,22,NSW (0.0),2.073138228963075e-05,0.14188027508907197,0.0010780318790607989
513,23,NSW (0.0),2.0869275163390157e-05,0.1418801371961982,0.0010852023084962881
514,24,NSW (0.0),0.13948406937148697,0.0024169370998746442,7.253171607317322
515,25,NSW (0.0),0.04334550111674536,0.019319734325761076,2.2539660580707586
516,0,Max,0.0,0.5,0.0
517,1,Max,0.5,0.0,36.0
518,2,Max,0.0,0.5,0.0
519,3,Max,0.0,0.5,0.0
520,4,Max,0.0,0.5,0.0
521,5,Max,0.0,0.5,0.0
522,6,Max,0.0,0.5,0.0
523,7,Max,0.0,0.5,0.0
524,8,Max,0.0,0.5,0.0
525,9,Max,0.0,0.5,0.0
526,10,Max,0.0,0.5,0.0
527,11,Max,0.0,0.5,0.0
528,12,Max,0.0,0.5,0.0
529,13,Max,0.0,0.5,0.0
530,14,Max,0.0,0.5,0.0
531,15,Max,0.0,0.5,0.0
532,16,Max,0.0,0.5,0.0
533,17,Max,0.0,0.5,0.0
534,18,Max,0.0,0.5,0.0
535,19,Max,0.0,0.5,0.0
536,20,Max,0.0,0.5,0.0
537,21,Max,0.0,0.5,0.0
538,22,Max,0.0,0.5,0.0
539,23,Max,0.0,0.5,0.0
540,24,Max,0.0,0.5,0.0
541,25,Max,0.0,0.5,0.0
542,26,Max,0.0,0.5,0.0
543,27,Max,0.0,0.5,0.0
544,28,Max,0.0,0.5,0.0
545,29,Max,0.0,0.5,0.0
546,30,Max,0.0,0.5,0.0
547,31,Max,0.0,0.5,0.0
548,32,Max,0.0,0.5,0.0
549,33,Max,0.0,0.5,0.0
550,34,Max,0.0,0.5,0.0
551,35,Max,0.0,0.5,0.0
552,0,Expo-Fair,2.5115084290161454e-07,0.1760568187196483,1.8082860688916246e-05
553,1,Expo-Fair,0.21154577860234972,0.0,15.23129605936918
554,2,Expo-Fair,0.0013563395364616473,0.21018943906588808,0.0976564466252386
555,3,Expo-Fair,0.05311677486182614,0.15842900374052357,3.824407790051482
556,4,Expo-Fair,0.08786343709701462,0.08819363277347657,6.3261674709850535
557,5,Expo-Fair,0.000911630404752167,0.21063414819759754,0.06563738914215603
558,6,Expo-Fair,0.0018660003150188869,0.20967977828733084,0.13435202268135987
559,7,Expo-Fair,2.9752287198383964e-07,0.1760567723476192,2.1421646782836457e-05
560,8,Expo-Fair,0.0,0.1760570698704912,0.0
561,9,Expo-Fair,0.003821918561562601,0.2077238600407871,0.2751781364325073
562,10,Expo-Fair,0.0003543939082436086,0.21119138469410612,0.025516361393539824
563,11,Expo-Fair,1.5605695415468343e-07,0.17605691381353702,1.1236100699137207e-05
564,12,Expo-Fair,0.0,0.1760570698704912,0.0
565,13,Expo-Fair,0.034762857487805,0.17678292111454472,2.50292573912196
566,14,Expo-Fair,0.0,0.21154577860234972,0.0
567,15,Expo-Fair,0.000911630404752167,0.21063414819759754,0.06563738914215603
568,16,Expo-Fair,0.03142593481471992,0.14463113505577127,2.2626673066598344
569,17,Expo-Fair,0.0,0.1760570698704912,0.0
570,18,Expo-Fair,0.0,0.1760570698704912,0.0
571,19,Expo-Fair,0.0051633370677753535,0.20638244153457436,0.3717602688798255
572,20,Expo-Fair,0.0,0.1760570698704912,0.0
573,21,Expo-Fair,1.5998127316227658e-07,0.17605690988921802,1.1518651667683914e-05
574,22,Expo-Fair,0.015491272589233385,0.19605450601311633,1.1153716264248037
575,23,Expo-Fair,0.0,0.21154577860234972,0.0
576,24,Expo-Fair,0.0,0.1760570698704912,0.0
577,25,Expo-Fair,0.0,0.1760570698704912,0.0
578,26,Expo-Fair,0.015534763654384246,0.19601101494796547,1.1185029831156659
579,27,Expo-Fair,1.5575359298576785e-07,0.1760569141168982,1.1214258694975285e-05
580,28,Expo-Fair,1.517689378856164e-07,0.1760569181015533,1.0927363527764381e-05
581,29,Expo-Fair,0.0003245496312981745,0.21122122897105153,0.023367573453468564
582,30,Expo-Fair,0.0004077834492308107,0.2111379951531189,0.029360408344618373
583,31,Expo-Fair,0.0,0.1760570698704912,0.0
584,32,Expo-Fair,0.0051633370677753535,0.20638244153457436,0.3717602688798255
585,33,Expo-Fair,0.000911630404752167,0.21063414819759754,0.06563738914215603
586,34,Expo-Fair,0.07813116254079804,0.09792590732969315,5.625443702937459
587,35,Expo-Fair,0.00025636877726802076,0.21128940982508168,0.018458551963297497
588,0,NSW (1.0),7.724151706618773e-06,0.15101964646288107,0.0005561389228765517
589,1,NSW (1.0),0.253635402977883,0.0,18.261749014407577
590,2,NSW (1.0),6.1539458475714555e-06,0.25362924903203543,0.0004430841010251448
591,3,NSW (1.0),0.06371432081257276,0.18992108216531023,4.587431098505239
