,index,policy,item_util,max_envy,imp_in_item_util
0,0,Max,0.0,0.030243261012491775,0.0
1,1,Max,0.0004930966469428008,0.020874424720578568,0.48701298701298734
2,2,Max,0.0004930966469428008,0.01923076923076923,0.4329004329004333
3,3,Max,0.031229454306377375,0.02892833662064435,5.681818181818143
4,4,Max,0.008382642998027613,0.019723865877712028,3.9291217257318953
5,5,Max,0.0008218277449046679,0.03944773175542407,0.4784688995215315
6,6,Max,0.003287310979618672,0.026462853385930303,1.3271400132713984
7,7,Max,0.02481919789612096,0.0848126232741617,4.90259740259737
8,8,Max,0.0004930966469428008,0.016765285996055226,0.3685503685503688
9,9,Max,0.0,0.03681788297172913,0.0
10,10,Max,0.0,0.04076265614727153,0.0
11,11,Max,0.0,0.014299802761341227,0.0
12,12,Max,0.00032873109796186715,0.027942143326758713,0.23923444976076574
13,13,Max,0.0023011176857330702,0.03270874424720578,1.4300306435137908
14,14,Max,0.017587113740959896,0.05456936226166996,4.524312896405897
15,15,Max,0.010848126232741617,0.039283366206443134,3.3707865168539204
16,16,Max,0.13477975016436555,0.0036160420775805577,16.13537977174332
17,17,Max,0.00032873109796186715,0.06410256410256411,0.11293054771315607
18,18,Max,0.0004930966469428008,0.0576923076923077,0.21994134897360695
19,19,Max,0.008382642998027613,0.07297830374753451,2.239789196310925
20,20,Max,0.0009861932938856016,0.047172912557527945,0.326619488296134
21,21,Max,0.0023011176857330707,0.012491781722550955,2.5974025974025996
22,22,Max,0.0016436554898093358,0.04815910585141356,0.610128126906649
23,23,Max,0.0,0.020874424720578568,0.0
24,24,Max,0.0,0.022353714661406968,0.0
25,25,Max,0.19181459566074963,0.0,20.52048531739053
26,26,Max,0.0029585798816568047,0.0039447731755424065,6.293706293706297
27,27,Max,0.0,0.028763971071663376,0.0
28,28,Max,0.0,0.030078895463510842,0.0
29,29,Max,0.009368836291913214,0.025969756738987517,6.3192904656319335
30,30,Max,0.0065746219592373424,0.03172255095332019,2.8632784538296323
31,31,Max,0.0014792899408284023,0.028106508875739643,0.8522727272727281
32,32,Max,0.0,0.022682445759368838,0.0
33,33,Max,0.0019723865877712033,0.029092702169625246,1.010101010101011
34,34,Max,0.10108481262327412,0.0004930966469428288,14.751739026145241
35,35,Max,0.011176857330703487,0.061965811965811954,3.2708032708032584
36,36,Max,0.0065746219592373424,0.036160420775805405,4.602991944764099
37,37,Max,0.0,0.02695595003287311,0.0
38,38,Max,0.0013149243918474686,0.055226824457593686,0.5387205387205379
39,39,Max,0.012163050624589089,0.10831689677843521,2.032408678934345
40,40,Max,0.0,0.018573307034845495,0.0
41,41,Max,0.021860618014464175,0.03353057199211046,9.910581222056631
42,42,Max,0.0,0.029914529914529912,0.0
43,43,Max,0.001972386587771203,0.04059829059829059,0.901577761081893
44,44,Max,0.06410256410256414,0.07248520710059167,8.908177249885728
45,45,Max,0.0009861932938856016,0.048816568047337285,0.4470938897168404
46,46,Max,0.0008218277449046679,0.06410256410256411,0.3113325031133244
47,47,Max,0.0,0.045529257067718605,0.0
48,48,Max,0.0,0.026462853385930303,0.0
49,49,Max,0.00871137409598948,0.069362261669954,1.8821022727272614
50,50,Max,0.0011505588428665351,0.05391190006574624,0.3535353535353522
51,51,Max,0.0008218277449046679,0.01873767258382643,0.9671179883945848
52,52,Max,0.0009861932938856016,0.040105193951347796,0.6342494714587744
53,53,Max,0.00032873109796186715,0.017258382642998032,0.3030303030303032
54,54,Max,0.07166337935568705,0.024326101249178108,13.256308908482735
55,55,Max,0.0065746219592373424,0.027120315581854043,2.7137042062415158
56,56,Max,0.012984878369493753,0.006738987508218278,9.575757575757583
57,57,Max,0.004437869822485207,0.022189349112426034,3.229665071770338
58,58,Max,0.0039447731755424065,0.028928336620644316,1.8648018648018654
59,59,Max,0.0013149243918474686,0.017258382642998032,0.835945663531871
60,60,Max,0.0,0.05703484549638397,0.0
61,61,Max,0.0019723865877712033,0.031393819855358315,1.3986013986013999
62,62,Max,0.01101249178172255,0.03221564760026299,4.381948986265526
63,63,Max,0.0006574621959237343,0.020874424720578565,0.6379585326953752
64,64,Max,0.01298487836949376,0.11061801446416827,2.451132485262163
65,65,Max,0.0034516765285996054,0.018573307034845495,2.7272727272727293
66,66,Max,0.00032873109796186715,0.032708744247205775,0.20202020202020216
67,67,Max,0.0008218277449046679,0.026955950032873113,0.4835589941972925
68,68,Max,0.006410256410256409,0.04766600920447075,2.1487603305785052
69,69,Max,0.0016436554898093358,0.08497698882314263,0.4004805766920283
70,70,Max,0.1681459566074951,0.007067718606180135,18.749999999999954
71,71,Max,0.0,0.025312294543063774,0.0
72,72,Max,0.0008218277449046679,0.019230769230769235,0.5980861244019143
73,73,Max,0.0014792899408284023,0.05309007232084156,0.4352030947775611
74,74,Max,0.0004930966469428008,0.03928336620644313,0.21141649048625774
75,75,Max,0.04059829059829058,0.026627218934911264,7.796717171717118
76,76,Max,0.0,0.020052596975673898,0.0
77,77,Max,0.08201840894148585,0.060650887573964495,9.450757575757537
78,78,Max,0.0004930966469428008,0.025969756738987503,0.31347962382445166
79,79,Max,0.0009861932938856016,0.015121630506245893,0.673400673400674
80,80,Max,0.007232084155161077,0.01824457593688363,4.5454545454545485
81,81,Max,0.0008218277449046679,0.03024326101249178,0.5285412262156453
82,82,Max,0.0037804076265614724,0.017587113740959896,2.904040404040406
83,83,Max,0.00641025641025641,0.0230111768573307,3.8961038961038996
84,84,Max,0.002465483234714004,0.014135437212360288,2.3923444976076573
85,85,Max,0.004930966469428008,0.0361604207758054,1.251042535446199
86,86,Max,0.004109138724523339,0.010190664036817884,4.835589941972923
87,87,Max,0.004437869822485207,0.027613412228796843,2.211302211302213
88,88,Max,0.0,0.017094017094017096,0.0
89,89,Max,0.03500986193293884,0.06015779092702166,6.476132563089039
90,90,Max,0.006081525312294543,0.03254437869822485,1.8791264601320399
91,91,Max,0.021038790269559498,0.027613412228796846,10.675562969140959
92,92,Max,0.0,0.016929651545036162,0.0
93,93,Max,0.0016436554898093358,0.057034845496383976,0.6020469596628523
94,94,Max,0.0,0.028435239973701506,0.0
95,95,Max,0.01512163050624589,0.0019723865877712033,19.00826446280993
96,96,Max,0.013477975016436557,0.010355029585798812,8.981380065717424
97,97,Max,0.00032873109796186715,0.04142011834319528,0.11806375442739048
98,98,Max,0.009204470742932281,0.0,24.242424242424246
